Car Make,Car Model,Year,Mileage,Price,Fuel Type,Color,Transmission,Options/Features,Condition,Accident
BMW,3 Series,2021,112670,29723.048,Gasoline,Yellow,Automatic,"GPS, Sunroof, Heated Seats, Backup Camera",Like New,Yes
Chevrolet,Silverado,2016,105182,39185.832,Gasoline,Black,Manual,"Leather Seats, Bluetooth, Heated Seats",New,Yes
Nissan,Sentra,2019,129025,11265.2,Gasoline,Orange,Automatic,"Backup Camera, Bluetooth, Sunroof",Like New,No
Audi,A3,2021,145242,25541.912,Diesel,Yellow,Manual,"Backup Camera, GPS, Heated Seats",New,Yes
Chevrolet,Cruze,2010,67639,18297.168,Electric,Green,Manual,"GPS, Heated Seats, Remote Start, Bluetooth",Used,Yes
Honda,Pilot,2012,54687,28595.712,Hybrid,Silver,Manual,"Sunroof, Remote Start, Backup Camera",New,Yes
Ford,F-150,2015,50114,19518.192000000003,Gasoline,Yellow,Manual,"Bluetooth, Backup Camera",Used,Yes
Land Rover,Range Rover,2019,132092,37358.91,Electric,Yellow,Automatic,"Bluetooth, Backup Camera, GPS, Remote Start",Used,No
Volkswagen,Passat,2015,9460,34840.216,Diesel,White,Automatic,"Heated Seats, Backup Camera, Remote Start",New,Yes
Audi,A6,2012,133070,13519.688000000002,Electric,Orange,Automatic,"Bluetooth, Remote Start, Backup Camera",Like New,Yes
Honda,Pilot,2013,125266,29273.832,Gasoline,Gray,Automatic,"Leather Seats, Bluetooth, GPS",Like New,Yes
Land Rover,Evoque,2010,80931,22902.544,Gasoline,Red,Manual,"GPS, Backup Camera, Sunroof, Heated Seats",New,Yes
Honda,CR-V,2010,138250,39961.352000000006,Diesel,Blue,Automatic,"Leather Seats, Remote Start, Backup Camera, Bluetooth",New,Yes
Honda,Fit,2019,51717,34459.856,Hybrid,Red,Automatic,"Leather Seats, GPS, Backup Camera, Remote Start",Used,Yes
Kia,Soul,2011,99355,25362.16,Diesel,Black,Manual,"Leather Seats, Backup Camera, Sunroof, Heated Seats",Like New,No
Fiat,500,2013,107926,8192.416000000001,Electric,Blue,Manual,"Remote Start, Backup Camera",Used,Yes
Land Rover,Range Rover,2013,112930,31249.94,Electric,Yellow,Automatic,GPS,Like New,No
Mercedes,C-Class,2020,101484,17641.36,Electric,Black,Manual,"Remote Start, Bluetooth, Backup Camera, Leather Seats",Used,Yes
Chevy,Malibu,2015,145556,30525.856,Diesel,Black,Automatic,"Remote Start, GPS",Used,Yes
Hyundai,Santa Fe,2013,45510,37857.664,Gasoline,Orange,Automatic,Remote Start,Used,Yes
Mazda,Mazda6,2012,136956,20888.712,Electric,Yellow,Automatic,Backup Camera,New,Yes
Land Rover,Range Rover,2010,82199,22743.856,Gasoline,Green,Automatic,"Sunroof, Leather Seats",New,Yes
Chevy,Traverse,2020,101804,21226.208,Gasoline,Black,Manual,"GPS, Backup Camera, Sunroof, Bluetooth",Used,Yes
Chevrolet,Cruze,2020,67910,34680.456,Gasoline,White,Manual,"Leather Seats, Heated Seats",Like New,Yes
Porsche,Cayenne,2019,111523,24553.34,Diesel,Brown,Automatic,"Sunroof, Bluetooth",Used,No
BMW,X5,2018,59785,29916.704,Gasoline,Yellow,Manual,"Leather Seats, Bluetooth, GPS, Remote Start",Used,Yes
Honda,Civic,2021,76905,21780.2,Diesel,Red,Automatic,"Backup Camera, Heated Seats, GPS",Used,Yes
Porsche,Macan,2018,144079,10358.824,Gasoline,Orange,Automatic,"Sunroof, Remote Start, Leather Seats",Used,Yes
Toyota,Tacoma,2020,21533,32986.78400000001,Gasoline,Black,Manual,"Heated Seats, Bluetooth",Used,Yes
Honda,Pilot,2012,50388,5788.024,Electric,Orange,Automatic,Bluetooth,Used,Yes
BMW,X3,2014,146561,38494.016,Hybrid,White,Automatic,"Sunroof, Leather Seats, Remote Start, Bluetooth",New,Yes
Tesla,Model X,2011,102610,9876.32,Electric,Brown,Automatic,"Remote Start, Backup Camera",Used,Yes
Ford,F-150,2016,109990,17261.44,Gasoline,Silver,Automatic,"Sunroof, Leather Seats, Heated Seats, Bluetooth",Like New,Yes
Mercedes,A-Class,2016,114754,14168.8,Electric,Green,Manual,"Leather Seats, Bluetooth",Used,Yes
Toyota,Highlander,2016,137442,31991.352000000003,Gasoline,Black,Manual,"Remote Start, Sunroof, Bluetooth, GPS",Used,Yes
Fiat,Doblo,2010,69594,5329.928,Electric,Orange,Manual,"Leather Seats, Remote Start, Heated Seats, GPS",Like New,Yes
Fiat,Panda,2021,93169,28908.056,Hybrid,Blue,Manual,"GPS, Leather Seats, Heated Seats, Sunroof",New,Yes
Tesla,Model 3,2016,35843,25850.64,Hybrid,Yellow,Automatic,"Remote Start, Backup Camera, GPS, Heated Seats",Like New,Yes
Chevy,Malibu,2022,22331,18812.888000000003,Hybrid,Brown,Automatic,Bluetooth,Like New,Yes
Hyundai,Santa Fe,2017,48160,13502.496,Hybrid,Gray,Automatic,"Leather Seats, Heated Seats, Sunroof",New,Yes
Audi,A3,2020,21619,10916.88,Electric,Green,Manual,"Heated Seats, GPS, Bluetooth, Leather Seats",Used,Yes
Subaru,Impreza,2018,65596,34372.416,Gasoline,Yellow,Manual,"Heated Seats, GPS, Remote Start, Leather Seats",Used,Yes
Kia,Optima,2018,49852,24085.328,Hybrid,Red,Automatic,"Bluetooth, Remote Start",Like New,Yes
BMW,3 Series,2010,50014,10285.408,Gasoline,Blue,Automatic,Heated Seats,New,Yes
Chrysler,Charger,2012,143294,35492.888,Diesel,Yellow,Automatic,"Sunroof, Leather Seats",Used,Yes
Tesla,Model S,2019,56324,46163.06,Diesel,Red,Automatic,"Backup Camera, Heated Seats",New,No
Hyundai,Sonata,2011,42081,13634.896,Gasoline,Green,Automatic,Sunroof,New,Yes
Volkswagen,Beetle,2016,16470,5974.78,Electric,Brown,Automatic,"Backup Camera, GPS, Leather Seats, Heated Seats",Like New,No
Chevrolet,Cruze,2016,10695,33786.28,Electric,Silver,Automatic,Remote Start,Used,Yes
Chevrolet,Cruze,2021,39712,20458.952,Diesel,Brown,Manual,"Backup Camera, Remote Start",New,Yes
Mercedes,A-Class,2014,87920,12123.392,Electric,Red,Automatic,"Backup Camera, Bluetooth, Remote Start, GPS",Used,Yes
Chevy,Equinox,2016,81677,11137.992,Gasoline,Green,Manual,Leather Seats,Used,Yes
Nissan,Leaf,2013,144404,45020.01,Diesel,Yellow,Automatic,"Bluetooth, Sunroof, Leather Seats",Like New,No
Nissan,Leaf,2021,91207,13808.592000000002,Diesel,White,Automatic,Sunroof,Like New,Yes
Chevrolet,Malibu,2012,63546,5156.296,Gasoline,Brown,Manual,"Backup Camera, Bluetooth, Heated Seats",New,Yes
Honda,Civic,2014,98226,31992.328000000005,Electric,White,Automatic,"Heated Seats, Sunroof, Leather Seats, GPS",Like New,Yes
Porsche,Panamera,2021,34799,12951.168,Hybrid,Green,Automatic,"Heated Seats, GPS, Remote Start",Used,Yes
Chevrolet,Equinox,2010,46586,35598.184,Hybrid,Yellow,Manual,Leather Seats,Used,Yes
Jaguar,XE,2015,133199,6291.12,Diesel,Yellow,Automatic,"Backup Camera, Leather Seats",Used,No
Ford,F-150,2010,14894,14805.49,Gasoline,Black,Automatic,Backup Camera,New,No
Chevrolet,Traverse,2012,34453,31824.36,Gasoline,Blue,Manual,"GPS, Bluetooth, Remote Start",Used,Yes
Porsche,Taycan,2019,47088,19316.44,Electric,Red,Automatic,"Remote Start, Leather Seats, Backup Camera",Like New,Yes
Kia,Forte,2015,63214,22364.976,Gasoline,Brown,Manual,"Heated Seats, Bluetooth, Leather Seats",Used,Yes
Chevrolet,Silverado,2015,148931,27830.584000000003,Diesel,Orange,Automatic,"Backup Camera, Sunroof, Bluetooth",Like New,Yes
Volkswagen,Passat,2022,111220,11719.392,Electric,White,Manual,Bluetooth,Like New,Yes
Jaguar,XF,2019,72193,22384.144,Diesel,White,Automatic,GPS,Used,Yes
Volkswagen,Golf,2022,30673,38351.712,Gasoline,Green,Automatic,Heated Seats,Used,Yes
Subaru,Crosstrek,2020,16791,13160.104,Diesel,Red,Automatic,"Bluetooth, GPS",Like New,Yes
Land Rover,Discovery,2015,74905,34262.936,Diesel,Blue,Manual,Bluetooth,Like New,Yes
Audi,Q7,2022,37246,31005.152,Electric,White,Automatic,"Sunroof, Heated Seats, Leather Seats",Like New,Yes
Chrysler,Dodge Durango,2010,90410,15063.35,Gasoline,Silver,Manual,"Sunroof, Backup Camera, Bluetooth, GPS",Like New,No
Land Rover,Discovery,2016,38400,37581.87,Diesel,Green,Automatic,"Leather Seats, Bluetooth, Remote Start, Heated Seats",Used,No
Audi,Q7,2011,126409,39982.528000000006,Diesel,Brown,Manual,"Backup Camera, Bluetooth",Used,Yes
Volkswagen,Passat,2021,12408,16061.36,Electric,Gray,Manual,Backup Camera,New,Yes
Chevrolet,Cruze,2010,7579,34989.792,Hybrid,White,Manual,Remote Start,Used,Yes
Ford,Explorer,2022,83463,14696.88,Hybrid,Green,Automatic,"Backup Camera, Remote Start, Heated Seats, Sunroof",Used,Yes
Chevrolet,Traverse,2016,135632,37831.44,Diesel,Blue,Automatic,"Bluetooth, Backup Camera",Used,Yes
Land Rover,Discovery,2014,109443,28892.648,Electric,White,Manual,Remote Start,Used,Yes
Tesla,Model 3,2022,90814,11950.072,Electric,Blue,Automatic,Leather Seats,Used,Yes
Kia,Sorento,2011,84340,30036.424,Electric,Yellow,Manual,"Leather Seats, GPS, Backup Camera",New,Yes
Chevrolet,Cruze,2012,25592,36550.08,Hybrid,Blue,Automatic,"Leather Seats, Sunroof, Bluetooth, Backup Camera",Like New,Yes
Chevrolet,Malibu,2018,116226,30544.608000000004,Gasoline,Black,Manual,Sunroof,Like New,Yes
Toyota,RAV4,2011,9823,21445.232000000004,Electric,White,Manual,Heated Seats,Like New,Yes
Hyundai,Elantra,2018,99684,15751.744,Gasoline,Red,Automatic,"Heated Seats, GPS, Bluetooth, Backup Camera",New,Yes
Jaguar,XE,2010,88690,20665.352,Hybrid,Red,Automatic,Leather Seats,Used,Yes
Audi,A4,2022,85981,27011.72,Hybrid,Black,Automatic,"Remote Start, Sunroof, Heated Seats, GPS",New,Yes
Subaru,Forester,2012,128799,26299.152,Gasoline,Silver,Manual,"Heated Seats, GPS, Sunroof, Bluetooth",Used,Yes
Hyundai,Kona,2019,33192,19866.45,Electric,White,Manual,Backup Camera,Used,No
Toyota,Camry,2016,32319,16120.904000000002,Hybrid,Gray,Manual,"Leather Seats, Remote Start, GPS, Backup Camera",New,Yes
Tesla,Model 3,2010,85734,28274.848,Diesel,Red,Automatic,Remote Start,New,Yes
Fiat,Doblo,2018,145176,38377.128,Diesel,Black,Automatic,"Heated Seats, Backup Camera",Like New,Yes
Subaru,Crosstrek,2016,147035,13196.976000000002,Electric,Gray,Automatic,Remote Start,Used,Yes
Fiat,500,2017,18423,22193.75,Diesel,Black,Manual,"Remote Start, Sunroof",Used,No
Toyota,Corolla,2012,8795,4254.32,Diesel,Brown,Automatic,"Bluetooth, Leather Seats, Remote Start",New,Yes
Fiat,Panda,2021,44961,22247.904,Gasoline,Black,Automatic,"Backup Camera, Sunroof, GPS",New,Yes
BMW,X5,2020,73416,28291.4,Diesel,Blue,Manual,"Sunroof, Remote Start, Leather Seats",New,Yes
Chevrolet,Equinox,2019,37218,20255.832,Diesel,Blue,Automatic,"Bluetooth, GPS, Backup Camera",New,Yes
Mercedes,GLC,2013,103799,29781.328000000005,Hybrid,Brown,Automatic,"GPS, Sunroof",Like New,Yes
Subaru,Impreza,2022,108945,35916.18,Diesel,Red,Automatic,"Backup Camera, Heated Seats",Used,No
Jaguar,F-Type,2020,91852,18946.584,Hybrid,Green,Automatic,"Backup Camera, Leather Seats",New,Yes
Tesla,Model S,2014,75818,12472.376,Gasoline,Gray,Manual,"Sunroof, Leather Seats",New,Yes
Toyota,Highlander,2011,55620,32153.83,Electric,Gray,Automatic,"GPS, Heated Seats, Remote Start, Backup Camera",Like New,No
Honda,Fit,2014,43587,15466.832000000002,Hybrid,Black,Manual,"Heated Seats, Sunroof",New,Yes
Chevy,Malibu,2012,101326,7219.464,Diesel,Yellow,Manual,"Heated Seats, Backup Camera, GPS, Bluetooth",New,Yes
Kia,Forte,2019,7925,35288.976,Electric,Orange,Automatic,"Remote Start, Bluetooth",New,Yes
Volkswagen,Tiguan,2019,74895,11752.008000000002,Hybrid,Gray,Automatic,"Backup Camera, GPS, Leather Seats, Sunroof",New,Yes
Land Rover,Velar,2018,5095,36142.688,Gasoline,White,Automatic,Backup Camera,Like New,Yes
Ford,Mustang,2012,84768,18605.11,Gasoline,Silver,Automatic,Sunroof,New,No
Hyundai,Santa Fe,2011,43012,24153.896,Electric,Blue,Automatic,Heated Seats,Used,Yes
Chevy,Camaro,2011,56466,39695.976,Gasoline,Gray,Manual,"GPS, Bluetooth",Like New,Yes
Chevrolet,Malibu,2014,145550,10536.592,Gasoline,Orange,Automatic,"Remote Start, Sunroof, Backup Camera, Leather Seats",Like New,Yes
Chevrolet,Traverse,2016,45985,16826.368,Electric,Yellow,Automatic,Sunroof,Like New,Yes
Subaru,Legacy,2020,100319,26478.688,Electric,Blue,Automatic,"Remote Start, GPS",Like New,Yes
Fiat,Doblo,2014,19740,18152.416,Electric,Brown,Automatic,Backup Camera,Like New,Yes
Porsche,Macan,2010,127541,35663.448,Diesel,Brown,Manual,Remote Start,New,Yes
Toyota,RAV4,2010,57470,34906.01,Gasoline,Orange,Manual,"Backup Camera, GPS, Bluetooth",Used,No
Mazda,MX-5 Miata,2013,107916,17548.664,Hybrid,Blue,Automatic,Backup Camera,Used,Yes
Audi,Q7,2021,5153,35978.224,Diesel,White,Automatic,Bluetooth,Used,Yes
BMW,X7,2017,58699,13995.768,Hybrid,Red,Manual,"Remote Start, Heated Seats, Sunroof, Bluetooth",Used,Yes
Volkswagen,Passat,2022,9791,26804.86,Electric,Green,Manual,"Remote Start, Sunroof, Heated Seats",Used,No
Chrysler,Pacifica,2022,20108,7118.8,Diesel,Orange,Manual,"GPS, Backup Camera, Remote Start, Leather Seats",Used,Yes
Fiat,500X,2011,35829,39006.336,Gasoline,Silver,Manual,"GPS, Bluetooth, Sunroof, Backup Camera",Like New,Yes
Chrysler,Charger,2018,41351,18089.032000000003,Electric,Orange,Automatic,"Leather Seats, Backup Camera, Bluetooth",New,Yes
Nissan,Altima,2020,12690,16584.248000000003,Electric,Silver,Automatic,"GPS, Bluetooth",New,Yes
Tesla,Model 3,2021,114706,30921.44,Electric,Black,Manual,"Heated Seats, Remote Start, Bluetooth, GPS",New,Yes
Honda,Fit,2018,28634,19595.064,Hybrid,Orange,Automatic,"Leather Seats, GPS, Heated Seats, Backup Camera",New,Yes
Tesla,Model X,2018,74830,21125.504,Gasoline,Silver,Manual,"GPS, Backup Camera",New,Yes
Land Rover,Range Rover,2016,42133,11697.952,Gasoline,Orange,Automatic,"Heated Seats, Sunroof",Used,Yes
Toyota,Tacoma,2016,28260,8514.976,Diesel,Red,Manual,"Sunroof, Backup Camera, Leather Seats",Like New,Yes
Ford,Mustang,2012,131863,28457.416,Electric,Brown,Manual,Heated Seats,Used,Yes
Land Rover,Velar,2018,50668,17861.144,Diesel,Brown,Automatic,"Bluetooth, GPS, Backup Camera, Sunroof",Used,Yes
Kia,Soul,2021,15156,6401.2,Diesel,White,Manual,Leather Seats,Used,No
Volkswagen,Beetle,2013,95868,30895.256,Diesel,Gray,Automatic,Sunroof,Like New,Yes
Fiat,Tipo,2017,108112,21120.224,Diesel,Green,Automatic,"GPS, Backup Camera",Used,Yes
Land Rover,Evoque,2016,69147,47140.43,Hybrid,Yellow,Manual,"Remote Start, Bluetooth, Sunroof",Like New,No
Mercedes,E-Class,2014,82979,37599.240000000005,Gasoline,Brown,Automatic,Leather Seats,New,Yes
Chrysler,Pacifica,2014,57685,33826.584,Electric,White,Automatic,GPS,Like New,Yes
Hyundai,Tucson,2019,125062,9973.36,Electric,Green,Manual,"GPS, Backup Camera, Leather Seats, Sunroof",New,Yes
Chevy,Camaro,2017,102529,39234.56,Gasoline,Brown,Manual,"Leather Seats, Backup Camera",Like New,Yes
Land Rover,Velar,2010,117404,30331.67,Hybrid,Blue,Automatic,"Backup Camera, Heated Seats, Remote Start, GPS",Used,No
Porsche,Cayenne,2013,93639,38891.904,Gasoline,Silver,Automatic,"Backup Camera, Sunroof",New,Yes
Audi,A4,2010,52050,11565.624000000002,Hybrid,Yellow,Automatic,Leather Seats,Like New,Yes
Volkswagen,Passat,2022,102251,6274.992,Diesel,Orange,Automatic,GPS,New,Yes
Kia,Soul,2015,74577,28858.136,Gasoline,Black,Automatic,Sunroof,Used,Yes
Subaru,Outback,2021,148036,30633.96,Gasoline,Black,Automatic,"Sunroof, GPS, Bluetooth",Used,No
Tesla,Model X,2010,33134,32219.48,Gasoline,Silver,Manual,"Bluetooth, Backup Camera",New,Yes
Subaru,Legacy,2010,20900,35665.008,Hybrid,Red,Manual,Backup Camera,Like New,Yes
Subaru,Forester,2021,133882,20084.488,Gasoline,Orange,Manual,"GPS, Remote Start",Used,Yes
Porsche,Panamera,2016,51287,18603.896,Electric,Brown,Automatic,"Bluetooth, Leather Seats, Sunroof",Used,Yes
Fiat,Panda,2022,110233,26249.032000000003,Hybrid,Orange,Automatic,"Backup Camera, Leather Seats, Remote Start, GPS",Like New,Yes
Volkswagen,Jetta,2017,102909,24011.960000000003,Diesel,Red,Automatic,GPS,New,Yes
Mercedes,A-Class,2016,108132,5406.264,Diesel,Orange,Manual,"Backup Camera, Bluetooth",Like New,Yes
Porsche,911,2010,115030,22580.608,Hybrid,Blue,Automatic,"Sunroof, Leather Seats, Heated Seats, GPS",Like New,Yes
Ford,F-150,2021,12956,33042.48,Electric,Brown,Manual,"GPS, Remote Start",Like New,No
Chevrolet,Silverado,2017,63616,4810.6720000000005,Gasoline,Green,Automatic,GPS,Like New,Yes
Hyundai,Elantra,2012,126246,31541.736,Electric,Yellow,Manual,Remote Start,New,Yes
Fiat,Panda,2018,86091,32054.72,Hybrid,Black,Automatic,"Backup Camera, Bluetooth, Remote Start",Like New,Yes
Honda,CR-V,2013,83146,22916.688,Diesel,White,Automatic,"Sunroof, Leather Seats, Heated Seats, Remote Start",Used,Yes
Chevrolet,Equinox,2019,26606,18756.808,Gasoline,Blue,Manual,"Backup Camera, Heated Seats, Bluetooth",New,Yes
Hyundai,Sonata,2015,107483,22508.984,Hybrid,Red,Automatic,"Remote Start, Sunroof, Leather Seats",Like New,Yes
Chrysler,Dodge Durango,2020,149026,9296.6,Electric,Gray,Automatic,"Backup Camera, Leather Seats",New,Yes
Fiat,500,2012,119953,7008.576,Electric,Blue,Automatic,"Remote Start, Heated Seats, Backup Camera",Used,Yes
Ford,F-150,2022,112621,22807.0,Gasoline,Black,Manual,Remote Start,New,Yes
BMW,X5,2012,32868,31224.928000000004,Electric,Orange,Manual,"Backup Camera, Sunroof",Like New,Yes
Volkswagen,Beetle,2014,137736,24553.696,Diesel,Green,Automatic,"Bluetooth, GPS",Used,Yes
Chrysler,Pacifica,2013,102928,27789.344,Hybrid,Orange,Automatic,"Leather Seats, GPS, Bluetooth",New,Yes
BMW,5 Series,2022,128295,4818.416,Electric,White,Automatic,"Remote Start, GPS, Bluetooth, Leather Seats",New,Yes
Mazda,Mazda3,2011,11398,28231.792,Electric,Yellow,Manual,"Backup Camera, Bluetooth, Leather Seats",Used,Yes
Volkswagen,Jetta,2015,21333,8560.21,Hybrid,Orange,Automatic,"Sunroof, Bluetooth, Heated Seats",Used,No
Kia,Sorento,2013,87816,17325.864,Hybrid,White,Manual,"Remote Start, Bluetooth, Leather Seats",Like New,Yes
Nissan,Altima,2011,5839,22702.096,Gasoline,Silver,Manual,"Backup Camera, Heated Seats",New,Yes
Mercedes,GLC,2016,109490,10044.552,Hybrid,White,Manual,"Bluetooth, Remote Start",Used,Yes
Kia,Sportage,2019,88029,20354.800000000003,Hybrid,Blue,Manual,"Heated Seats, GPS, Remote Start",Used,Yes
Honda,Accord,2020,12970,25914.736,Hybrid,White,Manual,"Backup Camera, Sunroof",Used,Yes
Mazda,Mazda3,2019,137940,8924.4,Electric,Brown,Automatic,"Leather Seats, GPS, Backup Camera, Bluetooth",Like New,Yes
Tesla,Model X,2011,7759,36905.448,Diesel,Red,Automatic,Heated Seats,Used,Yes
Audi,A4,2013,41356,18002.248000000003,Diesel,Blue,Manual,"Sunroof, Remote Start, Backup Camera, Heated Seats",Used,Yes
Jaguar,XF,2014,139252,8497.664,Electric,Blue,Automatic,Backup Camera,New,Yes
Toyota,Highlander,2013,110051,6459.65,Electric,Green,Automatic,"Remote Start, Heated Seats, Bluetooth, Backup Camera",Like New,No
Nissan,Sentra,2022,73241,18612.04,Gasoline,Black,Automatic,Backup Camera,Like New,No
Fiat,500,2015,59727,26796.312,Gasoline,Blue,Automatic,"GPS, Heated Seats, Backup Camera",Like New,Yes
Porsche,911,2010,72439,4711.32,Electric,Gray,Manual,"Backup Camera, Remote Start",Like New,Yes
Chevy,Traverse,2012,41929,22624.592000000004,Gasoline,Black,Manual,"Backup Camera, GPS, Bluetooth, Sunroof",Used,Yes
Tesla,Model X,2018,21220,15964.520000000002,Electric,Black,Manual,"Remote Start, Sunroof",New,Yes
Kia,Optima,2022,5435,18881.424,Diesel,Black,Manual,Bluetooth,New,Yes
Toyota,Tacoma,2021,131763,37087.44,Electric,Orange,Automatic,"Heated Seats, Remote Start",Like New,No
Tesla,Model 3,2013,66602,21374.416,Gasoline,Blue,Automatic,"GPS, Sunroof",Used,Yes
Toyota,RAV4,2019,79587,14199.808,Electric,Yellow,Automatic,"Bluetooth, GPS",Used,Yes
Ford,Escape,2019,12112,19690.320000000003,Hybrid,Brown,Automatic,"Sunroof, GPS",Used,Yes
Ford,Mustang,2017,12419,20873.056,Hybrid,Brown,Manual,"Bluetooth, Heated Seats",Like New,Yes
Land Rover,Velar,2011,38895,21094.496,Gasoline,Yellow,Manual,"Backup Camera, Heated Seats, Bluetooth, Sunroof",New,Yes
Chevy,Camaro,2010,95269,38093.78,Electric,Black,Manual,"GPS, Backup Camera",Used,No
Kia,Forte,2012,88169,18943.968,Hybrid,Yellow,Manual,"Heated Seats, Bluetooth, GPS",Used,Yes
BMW,X3,2020,104793,25461.984,Gasoline,Black,Manual,Heated Seats,New,Yes
Hyundai,Sonata,2022,84686,8997.648,Hybrid,Brown,Manual,"Backup Camera, Sunroof, Remote Start, GPS",Used,Yes
Ford,Mustang,2018,50803,22114.944000000003,Gasoline,Green,Automatic,"Sunroof, Backup Camera",Like New,Yes
Subaru,Impreza,2020,15913,14441.472000000002,Hybrid,Red,Automatic,"GPS, Remote Start, Leather Seats",Used,Yes
BMW,3 Series,2011,101893,21037.07,Hybrid,Red,Automatic,Heated Seats,Used,No
Jaguar,I-Pace,2014,10295,22143.792,Electric,Silver,Manual,"Leather Seats, GPS",New,Yes
Audi,Q5,2010,44596,32410.448,Diesel,Blue,Automatic,"GPS, Leather Seats, Bluetooth",Used,Yes
Porsche,911,2013,56995,31531.896000000004,Electric,Gray,Manual,Leather Seats,New,Yes
Audi,Q7,2016,87168,49329.42,Hybrid,Blue,Manual,"Backup Camera, Sunroof, GPS",New,No
Mazda,CX-9,2010,122354,29352.520000000004,Hybrid,Green,Manual,"Bluetooth, Leather Seats",Like New,Yes
Volkswagen,Tiguan,2020,62831,13449.168,Electric,Gray,Manual,"Remote Start, Sunroof, Backup Camera",Like New,Yes
Land Rover,Discovery,2010,87233,34322.208000000006,Diesel,White,Manual,"Sunroof, GPS",Used,Yes
Subaru,Forester,2021,20450,6535.648000000001,Diesel,Black,Automatic,"Sunroof, Backup Camera",Used,Yes
Tesla,Model S,2012,144856,19955.74,Hybrid,Orange,Automatic,GPS,Like New,No
Subaru,Outback,2021,19580,39349.352000000006,Hybrid,Silver,Automatic,"Backup Camera, Leather Seats",Like New,Yes
Chevrolet,Equinox,2016,45276,26132.152,Diesel,Green,Manual,"Heated Seats, Backup Camera, Remote Start",Used,Yes
Mazda,Mazda3,2015,44398,39386.552,Electric,Orange,Automatic,"Remote Start, Heated Seats, Sunroof, GPS",Like New,Yes
Mercedes,S-Class,2018,103077,7279.168,Hybrid,Brown,Manual,"GPS, Backup Camera, Heated Seats, Leather Seats",New,Yes
Fiat,Tipo,2011,127384,23214.464000000004,Hybrid,Green,Manual,"Bluetooth, Heated Seats, Backup Camera",New,Yes
Toyota,Tacoma,2011,141437,19879.768,Gasoline,Black,Automatic,Leather Seats,Like New,Yes
Chevrolet,Silverado,2011,115408,14099.76,Hybrid,Green,Automatic,"Heated Seats, Sunroof, Leather Seats",New,No
Hyundai,Kona,2018,98355,17748.536,Electric,White,Automatic,"Backup Camera, Remote Start",Used,Yes
Land Rover,Evoque,2013,89225,41720.46,Gasoline,Gray,Automatic,"Leather Seats, Sunroof, Heated Seats",New,No
Tesla,Model Y,2013,44032,15737.336,Gasoline,Silver,Automatic,"Heated Seats, Leather Seats, GPS",New,Yes
Chevy,Camaro,2014,89011,11976.072,Gasoline,Red,Automatic,"Sunroof, Bluetooth, Heated Seats",Like New,Yes
Jaguar,XJ,2019,28012,20766.688,Diesel,Silver,Manual,"Remote Start, Backup Camera, GPS, Sunroof",New,Yes
Honda,Fit,2014,129003,42043.53,Diesel,Yellow,Automatic,"Leather Seats, Bluetooth, GPS, Sunroof",Used,No
Chevy,Silverado,2013,66317,11600.8,Hybrid,Silver,Manual,"GPS, Leather Seats, Bluetooth, Backup Camera",Used,Yes
Honda,Accord,2010,45349,36816.688,Hybrid,Brown,Manual,"Heated Seats, GPS, Remote Start, Backup Camera",New,Yes
Chevrolet,Traverse,2010,149454,20496.72,Electric,Black,Manual,"Leather Seats, Heated Seats",New,No
Audi,A4,2019,138869,24591.552,Diesel,Silver,Manual,"Heated Seats, Bluetooth",New,Yes
Mazda,CX-5,2010,106264,4866.304,Electric,Green,Manual,GPS,New,Yes
Land Rover,Velar,2019,93301,38109.68,Gasoline,Silver,Manual,"Bluetooth, GPS, Sunroof, Leather Seats",Used,Yes
Subaru,Forester,2012,145701,36455.408,Diesel,Silver,Automatic,"Bluetooth, Leather Seats, GPS, Heated Seats",Like New,Yes
Mercedes,GLC,2018,74663,28352.98,Electric,White,Automatic,Backup Camera,Used,No
Nissan,Rogue,2014,118068,29625.784000000003,Diesel,Red,Manual,"Heated Seats, Sunroof, Backup Camera",New,Yes
Porsche,Cayenne,2017,55378,31645.472,Diesel,Brown,Automatic,Heated Seats,Used,Yes
Land Rover,Discovery,2018,46862,27907.816,Diesel,Orange,Automatic,"Backup Camera, Bluetooth",Like New,Yes
Porsche,Cayenne,2019,16827,15472.4,Diesel,Black,Manual,"Bluetooth, Sunroof, Heated Seats",Like New,No
Tesla,Model S,2017,103543,6626.392,Hybrid,White,Manual,"Heated Seats, Bluetooth, Backup Camera, Sunroof",Like New,Yes
Tesla,Model S,2014,115009,6209.87,Hybrid,Red,Manual,GPS,New,No
Fiat,500X,2015,7753,29914.824,Electric,Orange,Automatic,"Remote Start, GPS, Sunroof",Like New,Yes
Ford,Escape,2014,97604,27612.68,Electric,White,Manual,"Backup Camera, Heated Seats, Leather Seats, Bluetooth",Like New,Yes
Volkswagen,Golf,2012,39512,39743.76,Diesel,Yellow,Automatic,Leather Seats,New,Yes
Jaguar,XF,2012,37908,32168.36,Electric,Gray,Manual,Bluetooth,New,Yes
Kia,Sorento,2014,80714,13876.128,Diesel,White,Manual,Sunroof,Used,Yes
Honda,Pilot,2012,77363,31835.632,Diesel,Gray,Manual,Bluetooth,Like New,Yes
Chevy,Equinox,2014,67821,38313.76,Hybrid,Green,Automatic,"Heated Seats, Bluetooth, Backup Camera",Used,Yes
